;Data da Venda;Nome do Produto;Nome da Loja;Quantidade Vendida;ID Loja
19539;2017-01-09;Fabrikam SLR Camera M147 Silver;Loja Contoso Austin ;9;86
19967;2017-01-09;SV Keyboard E10 Black;Loja Contoso Austin ;4;86
20190;2017-01-09;Contoso SLR Camera M144 Silver Grey;Loja Contoso Austin ;9;86
20487;2017-01-09;Proseware Slim-Design Fax Machine with Answering System X180 Black;Loja Contoso Austin ;9;86
20590;2017-01-09;Proseware Projector 1080p LCD86 White;Loja Contoso Austin ;9;86
20630;2017-01-09;A. Datum Rangefinder Digital Camera X200 Green;Loja Contoso Austin ;9;86
20653;2017-01-09;Proseware Color Ink Jet Fax, Copier, Phone M250 Green;Loja Contoso Austin ;9;86
20978;2017-01-09;Adventure Works Desktop PC1.80 ED182 White;Loja Contoso Austin ;27;86
21837;2017-01-10;Contoso Home Theater System 5.1 Channel M1530 Black;Loja Contoso Austin ;9;86
21915;2017-01-10;Fabrikam SLR Camera M147 Silver;Loja Contoso Austin ;9;86
22280;2017-01-10;SV PCI Network Adapter E903 Silver;Loja Contoso Austin ;4;86
22314;2017-01-10;Contoso Dual Handset Cordless Phone System  E20 Black;Loja Contoso Austin ;4;86
22546;2017-01-10;Litware Home Theater System 5.1 Channel M515 Black;Loja Contoso Austin ;9;86
22554;2017-01-10;A. Datum Advanced Digital Camera M300 Black;Loja Contoso Austin ;9;86
22848;2017-01-10;The Phone Company PDA Wifi 4.7-inch L290 White;Loja Contoso Austin ;9;86
23015;2017-01-10;Proseware Mobile Receipt and Document Scanner M200 Grey;Loja Contoso Austin ;9;86
24373;2017-01-11;Proseware Laptop16 M610 Black;Loja Contoso Austin ;9;86
26797;2017-01-12;Adventure Works Laptop16 M1601 Blue;Loja Contoso Austin ;9;86
28904;2017-01-13;Adventure Works Laptop15.4W M1548 Red;Loja Contoso Austin ;9;86
29013;2017-01-13;SV Car Video TFT7 M7000 Brown;Loja Contoso Austin ;9;86
29209;2017-01-13;WWI Desktop PC1.80 E1800 White;Loja Contoso Austin ;12;86
29754;2017-01-13;Contoso USB Cable M250 Yellow;Loja Contoso Austin ;9;86
29933;2017-01-13;SV Car Video LCD7W M7081 Black;Loja Contoso Austin ;9;86
30219;2017-01-13;Proseware Mobile Receipt and Document Scanner M200 White;Loja Contoso Austin ;9;86
30247;2017-01-13;A. Datum SLR-like Digital Camera M400 Orange;Loja Contoso Austin ;9;86
30847;2017-01-13;A. Datum Full Frame Digital Camera X300 Orange;Loja Contoso Austin ;9;86
31313;2017-01-14;Contoso 8GB Clock & Radio MP3 Player X850 Blue;Loja Contoso Austin ;9;86
31404;2017-01-14;Fabrikam SLR Camera X150 Green;Loja Contoso Austin ;9;86
31447;2017-01-14;"Fabrikam SLR Camera 35"" X358 Orange";Loja Contoso Austin ;9;86
31454;2017-01-14;A. Datum Super-zoom Digital Camera X300 Pink;Loja Contoso Austin ;9;86
31773;2017-01-14;Contoso DVD 38 DVD Storage Binder E25 Silver;Loja Contoso Austin ;4;86
31803;2017-01-14;Proseware LCD17W E202 Black;Loja Contoso Austin ;4;86
32395;2017-01-14;A. Datum SLR-like Digital Camera M400 Black;Loja Contoso Austin ;9;86
32480;2017-01-14;The Phone Company Touch Screen Phones Infrared M901 Grey;Loja Contoso Austin ;9;86
33129;2017-01-14;Contoso DVD 14-Inch Player Portable L100 Silver;Loja Contoso Austin ;9;86
34435;2017-01-15;The Phone Company PDA Palm 3.5 inch M810 Black;Loja Contoso Austin ;9;86
34453;2017-01-15;Contoso Expandable 3-Handset Cordless Phone System M204 White;Loja Contoso Austin ;9;86
34840;2017-01-15;The Phone Company Sharp Touch Screen Phones M910 Gold;Loja Contoso Austin ;9;86
35310;2017-01-15;Cigarette Lighter Adapter for Contoso Phones E110 White;Loja Contoso Austin ;80;86
35322;2017-01-15;Adventure Works Desktop PC1.80 ED180 Brown;Loja Contoso Austin ;27;86
35762;2017-01-16;Contoso 3 Handset Cordless Phone System E30 Grey;Loja Contoso Austin ;4;86
36018;2017-01-16;The Phone Company PDA Phone 3.7 inches M340 Black;Loja Contoso Austin ;18;86
36105;2017-01-16;Contoso Expandable 3-Handset Cordless Phone System M204 Grey;Loja Contoso Austin ;9;86
36114;2017-01-16;SV DVD 14-Inch Player Portable L100 White;Loja Contoso Austin ;9;86
37229;2017-01-16;Proseware Office Jet Wireless All-in-One Inkjet Printer M600 Grey;Loja Contoso Austin ;9;86
37244;2017-01-16;Contoso In front of Centrex L15 Grey;Loja Contoso Austin ;9;86
37320;2017-01-16;Proseware Ink Jet All in one M300 Grey;Loja Contoso Austin ;9;86
37810;2017-01-16;Contoso Bright Light battery E20 Black;Loja Contoso Austin ;4;86
41097;2017-01-18;Fabrikam SLR Camera M147 Silver;Loja Contoso Austin ;9;86
41102;2017-01-18;SV 16xDVD M360 Black;Loja Contoso Austin ;9;86
41772;2017-01-18;The Phone Company Finger Touch Screen Phones M30 Gold;Loja Contoso Austin ;4;86
42064;2017-01-18;Contoso Education Essentials Bundle M300 Black;Loja Contoso Austin ;9;86
42076;2017-01-18;The Phone Company Smart phones Unlocked International M800 Grey;Loja Contoso Austin ;9;86
42120;2017-01-18;"A. Datum SLR Camera 35"" M358 Black";Loja Contoso Austin ;9;86
42139;2017-01-18;Contoso Expandable Cordless Phone System M008 Grey;Loja Contoso Austin ;9;86
42588;2017-01-18;Contoso Mini Battery Charger Kit E320 Silver;Loja Contoso Austin ;4;86
42606;2017-01-18;Contoso 512MB MP3 Player E51 Silver;Loja Contoso Austin ;4;86
43451;2017-01-19;Proseware Ink Jet All in one M300 White;Loja Contoso Austin ;9;86
44018;2017-01-19;Adventure Works Desktop PC1.80 ED182 Silver;Loja Contoso Austin ;27;86
44208;2017-01-19;"Adventure Works 19"" Color Digital TV E35 Silver";Loja Contoso Austin ;4;86
44453;2017-01-19;Contoso Education Essentials Bundle M300 Black;Loja Contoso Austin ;9;86
44590;2017-01-19;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black;Loja Contoso Austin ;9;86
44621;2017-01-19;Litware Home Theater System 5.1 Channel M515 Black;Loja Contoso Austin ;9;86
44925;2017-01-19;Cigarette Lighter Adapter for Contoso Phones E110 Red;Loja Contoso Austin ;80;86
44991;2017-01-19;"Adventure Works 20"" CRT TV E15 Black";Loja Contoso Austin ;4;86
45466;2017-01-20;SV 8xDVD E100 Silver;Loja Contoso Austin ;4;86
45710;2017-01-20;Contoso Home Theater System 4.1 Channel M1410 Black;Loja Contoso Austin ;9;86
45719;2017-01-20;Fabrikam Trendsetter 1'' 25mm X400 White;Loja Contoso Austin ;9;86
45731;2017-01-20;Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Grey;Loja Contoso Austin ;9;86
45785;2017-01-20;"Adventure Works 19"" Portable LCD HDTV M110 White";Loja Contoso Austin ;9;86
45827;2017-01-20;Contoso Home Theater System 2.1 Channel M1210 Silver;Loja Contoso Austin ;9;86
46232;2017-01-20;Adventure Works LCD17 E200 White;Loja Contoso Austin ;4;86
46465;2017-01-20;SV Car Video TFT7 M7000 Black;Loja Contoso Austin ;9;86
46567;2017-01-20;Contoso Optical Wheel OEM PS/2 Mouse E60 Grey;Loja Contoso Austin ;4;86
47417;2017-01-20;WWI LCD17 E205 White;Loja Contoso Austin ;4;86
50134;2017-01-22;Contoso DVD 9-Inch Player Portable M300 Silver;Loja Contoso Austin ;9;86
50207;2017-01-22;Contoso Phone with Memory Dialing-single line E88 White;Loja Contoso Austin ;4;86
50521;2017-01-22;Proseware Desk Jet All-in-One Printer, Scanner, Copier M350 Green;Loja Contoso Austin ;9;86
50552;2017-01-22;Contoso Projector 1080p X980 Silver;Loja Contoso Austin ;9;86
50956;2017-01-22;Proseware Laser Jet Printer E100 Grey;Loja Contoso Austin ;8;86
51018;2017-01-22;A. Datum Slim Digital Camera M180 Pink;Loja Contoso Austin ;4;86
51052;2017-01-22;"Adventure Works 19"" Color Digital TV E35 White";Loja Contoso Austin ;4;86
51070;2017-01-22;WWI CRT17 E106 White;Loja Contoso Austin ;4;86
51606;2017-01-22;"Adventure Works 26"" 720p LCD HDTV M140 Silver";Loja Contoso Austin ;9;86
52242;2017-01-22;"Fabrikam SLR Camera 35"" M358 Blue";Loja Contoso Austin ;4;86
55196;2017-01-24;A. Datum Consumer Digital Camera E100 Pink;Loja Contoso Austin ;9;86
55218;2017-01-24;SV Car Video LCD7W M7080 Silver;Loja Contoso Austin ;9;86
55245;2017-01-24;Fabrikam SLR Camera X147 Grey;Loja Contoso Austin ;9;86
55263;2017-01-24;Contoso Electronic Private Automatic Branch Exchange M90 Black;Loja Contoso Austin ;9;86
55321;2017-01-24;SV 16xDVD M330 Black;Loja Contoso Austin ;9;86
55663;2017-01-24;Contoso Rechargeable Li-Ion Battery Pack E300 White;Loja Contoso Austin ;4;86
56325;2017-01-24;The Phone Company PDA Phone Unlocked 3.7 inches M510 White;Loja Contoso Austin ;9;86
56438;2017-01-24;Contoso 4 Handset Cordless Phone System M86 White;Loja Contoso Austin ;9;86
56825;2017-01-24;A. Datum Ultra Compact Digital Camera M190 Orange;Loja Contoso Austin ;4;86
57641;2017-01-25;Contoso 2-Line Speakerphone M109 Black;Loja Contoso Austin ;9;86
57715;2017-01-25;Contoso DVD 55DVD Storage Binder M56 Red;Loja Contoso Austin ;9;86
58098;2017-01-25;Contoso 2G MP3 Player E200 Blue;Loja Contoso Austin ;4;86
58644;2017-01-25;SV DVD 15-Inch Player Portable L200 Black;Loja Contoso Austin ;9;86
58715;2017-01-25;Fabrikam SLR Camera M147 Grey;Loja Contoso Austin ;9;86
58721;2017-01-25;Contoso USB Cable M250 Yellow;Loja Contoso Austin ;9;86
58784;2017-01-25;A. Datum Consumer Digital Camera E100 Azure;Loja Contoso Austin ;9;86
58787;2017-01-25;"Contoso SLR Camera 35"" X358 Silver Grey";Loja Contoso Austin ;9;86
58790;2017-01-25;Contoso Hybrid system M60 White;Loja Contoso Austin ;9;86
59157;2017-01-25;Proseware CRT15 E10 Black;Loja Contoso Austin ;4;86
59238;2017-01-25;Contoso 90W AC/DC Power Adapter E300 Grey;Loja Contoso Austin ;4;86
59249;2017-01-25;The Phone Company Touch Screen Phones - CRT M11 Gold;Loja Contoso Austin ;4;86
59570;2017-01-26;The Phone Company Touch Screen Phones Capacitive M908 Gold;Loja Contoso Austin ;9;86
59579;2017-01-26;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Orange;Loja Contoso Austin ;9;86
59861;2017-01-26;Contoso SLR Camera X145 Pink;Loja Contoso Austin ;9;86
59867;2017-01-26;The Phone Company Touch Screen Phones Infrared M901 Grey;Loja Contoso Austin ;9;86
59869;2017-01-26;Contoso Pen Touch Screen Phones M320 Black;Loja Contoso Austin ;9;86
59882;2017-01-26;WWI Desktop PC1.60 E1600 White;Loja Contoso Austin ;12;86
60075;2017-01-26;Proseware Wireless Photo All-in-One Printer M390 Black;Loja Contoso Austin ;9;86
60770;2017-01-26;A. Datum Ultra Compact Digital Camera M190 Silver;Loja Contoso Austin ;4;86
60790;2017-01-26;The Phone Company Touch Screen Phones - CRT M11 Black;Loja Contoso Austin ;4;86
60827;2017-01-26;Contoso Home Theater System 7.1 Channel M1700 White;Loja Contoso Austin ;9;86
60961;2017-01-26;The Phone Company PDA Handheld 3.5 inch M610 Silver;Loja Contoso Austin ;9;86
62058;2017-01-27;Fabrikam Laptop12 M2002 Red;Loja Contoso Austin ;9;86
64494;2017-01-28;WWI CRT17 E106 Black;Loja Contoso Austin ;4;86
64754;2017-01-28;"Adventure Works 26"" 720p LCD HDTV M140 Silver";Loja Contoso Austin ;9;86
65636;2017-01-28;Adventure Works Desktop PC1.80 ED182 White;Loja Contoso Austin ;27;86
65696;2017-01-28;A. Datum SLR Camera M136 Silver;Loja Contoso Austin ;4;86
65752;2017-01-28;"A. Datum SLR Camera 35"" M358 Blue";Loja Contoso Austin ;9;86
65999;2017-01-28;A. Datum SLR Camera X137 Grey;Loja Contoso Austin ;9;86
66403;2017-01-28;Contoso Mini Battery Charger Kit E320 Silver;Loja Contoso Austin ;4;86
66629;2017-01-28;Contoso 8GB Clock & Radio MP3 Player X850 Black;Loja Contoso Austin ;9;86
66718;2017-01-28;SV DVD 38 DVD Storage Binder E25 Red;Loja Contoso Austin ;4;86
67072;2017-01-29;SV Car Video TFT6.2W E6281 Silver;Loja Contoso Austin ;4;86
67127;2017-01-29;A. Datum SLR Camera X142 Orange;Loja Contoso Austin ;9;86
67141;2017-01-29;SV Car Video LCD7 M7003 Black;Loja Contoso Austin ;9;86
67649;2017-01-29;Contoso Finger Touch Screen Phones M30 Black;Loja Contoso Austin ;4;86
68090;2017-01-29;Proseware Screen 100in M1609 Black;Loja Contoso Austin ;4;86
68094;2017-01-29;WWI Screen 85in E1010 Black;Loja Contoso Austin ;4;86
68162;2017-01-29;The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Grey;Loja Contoso Austin ;9;86
68879;2017-01-29;Proseware CRT17 E104 Black;Loja Contoso Austin ;4;86
69576;2017-01-30;A. Datum Consumer Digital Camera M300 Pink;Loja Contoso Austin ;9;86
69590;2017-01-30;Contoso Home Theater System 5.1 Channel M1500 Black;Loja Contoso Austin ;9;86
69650;2017-01-30;Contoso DVD 48 DVD Storage Binder M50 Silver;Loja Contoso Austin ;9;86
69934;2017-01-30;Litware Home Theater System 2.1 Channel E211 Black;Loja Contoso Austin ;8;86
70289;2017-01-30;Contoso USB 2.0 Dock Station docking station M800 Black;Loja Contoso Austin ;9;86
70637;2017-01-30;Fabrikam SLR Camera X147 Silver;Loja Contoso Austin ;9;86
70705;2017-01-30;The Phone Company PDA Palm 3.5 inch M810 Silver;Loja Contoso Austin ;9;86
71080;2017-01-30;A. Datum Ultra Compact Digital Camera M190 Silver;Loja Contoso Austin ;4;86
71128;2017-01-30;A. Datum Compact Digital Camera M200 Grey;Loja Contoso Austin ;4;86
81507;2017-02-04;Contoso Home Theater System 2.1 Channel M1210 White;Loja Contoso Austin ;9;86
81849;2017-02-04;Contoso Multi-line phones M30 Grey;Loja Contoso Austin ;9;86
81852;2017-02-04;A. Datum Point Shoot Digital Camera M500 Black;Loja Contoso Austin ;9;86
81931;2017-02-04;A. Datum Consumer Digital Camera E100 Green;Loja Contoso Austin ;9;86
82412;2017-02-04;Proseware CRT19 E201 White;Loja Contoso Austin ;4;86
82792;2017-02-04;"Fabrikam SLR Camera 35"" M358 Black";Loja Contoso Austin ;4;86
82999;2017-02-04;A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure;Loja Contoso Austin ;9;86
83016;2017-02-04;Contoso Car power adapter M90 Black;Loja Contoso Austin ;9;86
83050;2017-02-04;"Contoso SLR Camera 35"" X358 Silver Grey";Loja Contoso Austin ;9;86
83072;2017-02-04;A. Datum SLR-like Digital Camera M400 Azure;Loja Contoso Austin ;9;86
85719;2017-02-05;Fabrikam Laptop19W M9800 Black;Loja Contoso Austin ;9;86
87103;2017-02-06;Contoso DVD 15-Inch Player Portable L200 White;Loja Contoso Austin ;9;86
87909;2017-02-06;Contoso Rubberized Skin BlackBerry E100 Silver;Loja Contoso Austin ;80;86
88066;2017-02-06;SV DVD 14-Inch Player Portable L100 White;Loja Contoso Austin ;9;86
88708;2017-02-06;Proseware LCD17W E202 Black;Loja Contoso Austin ;4;86
94006;2017-02-09;Proseware Photo Inkjet Printer E290 Green;Loja Contoso Austin ;4;86
94035;2017-02-09;The Phone Company PDA Phone 3.7 inches M340 Silver;Loja Contoso Austin ;18;86
94340;2017-02-09;A. Datum All in One Digital Camera M200 Green;Loja Contoso Austin ;9;86
94445;2017-02-09;Proseware Scan Jet Digital Flat Bed Scanner M300 White;Loja Contoso Austin ;9;86
95088;2017-02-09;"Adventure Works 26"" 720p LCD HDTV M140 White";Loja Contoso Austin ;9;86
95208;2017-02-09;Proseware Screen 80in E1010 Silver;Loja Contoso Austin ;4;86
95537;2017-02-09;SV DVD 12-Inch Player Portable M400 Silver;Loja Contoso Austin ;9;86
95555;2017-02-09;SV DVD 12-Inch Player Portable M400 Black;Loja Contoso Austin ;9;86
95577;2017-02-09;Proseware Professional Quality Plain-Paper Fax and Copier X100 White;Loja Contoso Austin ;9;86
96642;2017-02-10;A. Datum Bridge Digital Camera M300 Green;Loja Contoso Austin ;9;86
96864;2017-02-10;Contoso behind Centrex X15 Grey;Loja Contoso Austin ;9;86
96896;2017-02-10;"Contoso SLR Camera 35"" M358 Grey";Loja Contoso Austin ;9;86
97746;2017-02-10;Contoso SLR Camera M146 Orange;Loja Contoso Austin ;4;86
97760;2017-02-10;SV Car Video TFT6.2W E6281 Silver;Loja Contoso Austin ;4;86
98478;2017-02-10;Contoso Expandable Cordless Phone System M008 Grey;Loja Contoso Austin ;18;86
98982;2017-02-11;SV 16xDVD M320 Silver;Loja Contoso Austin ;9;86
99046;2017-02-11;Contoso USB Data Link-direct connect adapter E600 Black;Loja Contoso Austin ;4;86
99281;2017-02-11;Litware Home Theater System 5.1 Channel M515 Black;Loja Contoso Austin ;9;86
99334;2017-02-11;WWI Projector 480p DLP12 Black;Loja Contoso Austin ;9;86
99386;2017-02-11;Contoso Multi-line phones M30 White;Loja Contoso Austin ;9;86
99470;2017-02-11;A. Datum SLR Camera X138 Silver Grey;Loja Contoso Austin ;9;86
99491;2017-02-11;The Phone Company Pen Touch Screen Phones M320 Gold;Loja Contoso Austin ;9;86
99891;2017-02-11;"Adventure Works 20"" CRT TV E15 White";Loja Contoso Austin ;4;86
100267;2017-02-11;The Phone Company Finger Touch Screen Phones M30 Grey;Loja Contoso Austin ;4;86
101286;2017-02-11;The Phone Company Touch Screen Phones - LCD M12 Black;Loja Contoso Austin ;4;86
101529;2017-02-11;Contoso Battery charger - bike E200 Black;Loja Contoso Austin ;4;86
101800;2017-02-12;The Phone Company Smart phones without camera E100 Gold;Loja Contoso Austin ;4;86
101876;2017-02-12;Contoso SLR Camera X145 Pink;Loja Contoso Austin ;9;86
101929;2017-02-12;Contoso Phone with 13-Number Memory (210) M301 Black;Loja Contoso Austin ;9;86
101965;2017-02-12;A. Datum Consumer Digital Camera E100 Green;Loja Contoso Austin ;9;86
102414;2017-02-12;Proseware CRT19 E201 White;Loja Contoso Austin ;4;86
102515;2017-02-12;Contoso Power Inverter - DC to AC power inverter E900 Grey;Loja Contoso Austin ;4;86
102723;2017-02-12;Contoso DVD 9-Inch Player Portable M300 Black;Loja Contoso Austin ;9;86
102738;2017-02-12;Litware Home Theater System 5.1 Channel M515 Brown;Loja Contoso Austin ;9;86
102776;2017-02-12;WWI LCD17 E205 White;Loja Contoso Austin ;4;86
102893;2017-02-12;"Adventure Works 20"" CRT TV E15 Black";Loja Contoso Austin ;4;86
102969;2017-02-12;Contoso Lens Adapter M450 White;Loja Contoso Austin ;9;86
103686;2017-02-12;Adventure Works LCD17W E203 Black;Loja Contoso Austin ;4;86
103838;2017-02-12;A. Datum Advanced Digital Camera M300 Grey;Loja Contoso Austin ;9;86
109280;2017-02-15;"Adventure Works 19"" Color Digital TV E35 White";Loja Contoso Austin ;4;86
109506;2017-02-15;A. Datum SLR-like Digital Camera M400 Azure;Loja Contoso Austin ;9;86
110293;2017-02-15;Contoso Home Theater System 5.1 Channel M1530 Brown;Loja Contoso Austin ;18;86
110449;2017-02-15;A. Datum SLR Camera M137 Grey;Loja Contoso Austin ;4;86
111197;2017-02-15;Fabrikam Budget Movie-Maker 2/3'' 17mm E100 Black;Loja Contoso Austin ;18;86
111593;2017-02-15;Proseware Screen 85in E1010 Black;Loja Contoso Austin ;4;86
111616;2017-02-15;A. Datum SLR Camera M140 Pink;Loja Contoso Austin ;4;86
111715;2017-02-16;Fabrikam Trendsetter 2/3'' 17mm X100 Black;Loja Contoso Austin ;9;86
112051;2017-02-16;Contoso USB Cable M250 White;Loja Contoso Austin ;9;86
112110;2017-02-16;Proseware Projector 720p LCD56 Silver;Loja Contoso Austin ;9;86
112601;2017-02-16;Contoso USB Wave Multi-media Keyboard E280 Black;Loja Contoso Austin ;4;86
113152;2017-02-16;SV 16xDVD M320 Black;Loja Contoso Austin ;9;86
113186;2017-02-16;The Phone Company PDA Phone 3.5 inches M320 White;Loja Contoso Austin ;9;86
113264;2017-02-16;Contoso Enhanced Capacity Battery M800 Black;Loja Contoso Austin ;9;86
113274;2017-02-16;A. Datum Consumer Digital Camera M300 Pink;Loja Contoso Austin ;9;86
113835;2017-02-16;SV Car Video AM/FM E1001 Black;Loja Contoso Austin ;4;86
113981;2017-02-16;A. Datum SLR Camera X142 Orange;Loja Contoso Austin ;9;86
114567;2017-02-17;Contoso SLR Camera X142 Black;Loja Contoso Austin ;9;86
114955;2017-02-17;Contoso Optical Wheel OEM PS/2 Mouse E60 Silver;Loja Contoso Austin ;8;86
115003;2017-02-17;Contoso Screen 80in E080 Silver;Loja Contoso Austin ;4;86
115321;2017-02-17;Contoso 8GB Clock & Radio MP3 Player X850 Black;Loja Contoso Austin ;9;86
115403;2017-02-17;Litware Home Theater System 2.1 Channel E210 Silver;Loja Contoso Austin ;4;86
115835;2017-02-17;Proseware Projector 1080p DLP86 Black;Loja Contoso Austin ;9;86
116340;2017-02-17;NT Bluetooth Stereo Headphones E52 Blue;Loja Contoso Austin ;4;86
116385;2017-02-17;SV 2GB Laptop memory E800 Silver;Loja Contoso Austin ;4;86
117021;2017-02-18;Fabrikam Trendsetter 2/3'' 17mm X100 White;Loja Contoso Austin ;9;86
117137;2017-02-18;Contoso Home Theater System 4.1 Channel M1400 White;Loja Contoso Austin ;9;86
117629;2017-02-18;Proseware Screen 85in E1010 Black;Loja Contoso Austin ;4;86
117818;2017-02-18;Contoso Pen Touch Screen Phones M320 Black;Loja Contoso Austin ;18;86
117969;2017-02-18;Contoso Screen 100in E010 Black;Loja Contoso Austin ;4;86
118331;2017-02-18;Fabrikam Budget Moviemaker 1/2'' 3mm E300 Black;Loja Contoso Austin ;9;86
118831;2017-02-18;SV 2GB Laptop memory E800 White;Loja Contoso Austin ;4;86
124232;2017-02-21;The Phone Company PDA Phone 4.7 inches L360 Black;Loja Contoso Austin ;9;86
124622;2017-02-21;The Phone Company Smart phones Expert M400 Grey;Loja Contoso Austin ;9;86
124657;2017-02-21;A. Datum Point Shoot Digital Camera M500 Green;Loja Contoso Austin ;9;86
124679;2017-02-21;WWI Projector 480p DLP12 Black;Loja Contoso Austin ;9;86
124757;2017-02-21;A. Datum All in One Digital Camera M200 Silver;Loja Contoso Austin ;9;86
125491;2017-02-21;Proseware All-In-One Photo Printer M200 Black;Loja Contoso Austin ;9;86
125809;2017-02-21;Contoso Home Theater System 7.1 Channel M1700 Silver;Loja Contoso Austin ;9;86
125942;2017-02-21;WWI Projector 720p DLP56 Silver;Loja Contoso Austin ;9;86
126517;2017-02-21;Contoso DVD 38 DVD Storage Binder E25 Black;Loja Contoso Austin ;4;86
126657;2017-02-21;Contoso 4 Handset Cordless Phone System M86 Grey;Loja Contoso Austin ;9;86
129146;2017-02-23;Contoso Bedroom Phone with AM/FM Stereo and Call Waiting Caller ID M600 White;Loja Contoso Austin ;9;86
129499;2017-02-23;A. Datum SLR-like Digital Camera M400 Silver;Loja Contoso Austin ;9;86
129505;2017-02-23;The Phone Company Smart phones 160x160 M26 Gold;Loja Contoso Austin ;9;86
129565;2017-02-23;Proseware Office Jet All-in-One Printer M500 Black;Loja Contoso Austin ;9;86
129602;2017-02-23;A. Datum Full Frame Digital Camera X300 Azure;Loja Contoso Austin ;9;86
129628;2017-02-23;Proseware Projector 720p LCD56 Black;Loja Contoso Austin ;9;86
130006;2017-02-23;Contoso 1G MP3 Player E100 White;Loja Contoso Austin ;4;86
130088;2017-02-23;SV 512MB Laptop memory E800 Black;Loja Contoso Austin ;4;86
131386;2017-02-23;Contoso Phone for MSN E200 Black;Loja Contoso Austin ;4;86
131558;2017-02-23;The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Gold;Loja Contoso Austin ;9;86
132538;2017-02-24;SV Car Video AM/FM E1000 Black;Loja Contoso Austin ;4;86
132539;2017-02-24;Proseware LCD15 E103 White;Loja Contoso Austin ;4;86
133005;2017-02-24;Contoso DVD 55DVD Storage Binder M56 Silver;Loja Contoso Austin ;9;86
